UUID_FAMILY;ORIGGPCD;UUID_CONTENT;LANG;ORIGGPFR
16A18690-CC68-477B-802A-0FC20AAE52BC;25.9;C6F4EC84-9CC0-4DCE-B5F1-56353857D125;fr_FR;Plats de viande/volaille et féculents
804E5556-7662-49FE-AA2F-4708BF8807B2;26;1D11B22B-2649-402A-A62C-ECA04AD20A57;fr_FR;Sandwichs
6B96BDA8-AA97-4133-9276-F2EB809975B0;27.1;27F554D1-A95B-41F1-9C66-07F4F5BEFB86;fr_FR;Soupes prêtes à consommer
BC086C5E-FBF7-4E9F-816F-F322E03B6C1A;27.2;348899C0-0924-4795-8CDC-47C2F683BB26;fr_FR;Bouillons prêts à consommer
FFCABFC6-DD49-4D37-84CE-CBC37D18CB6E;27.9;FE87189E-F198-4CFE-8E57-EB3BCC61F036;fr_FR;Soupes et bouillons non reconstitués
D37F973E-8221-4D23-AB77-F323164FE2BC;28.0;06DE1211-5841-4F1F-BA59-A970D091BA0D;fr_FR;Epices
F07E04A4-A8F9-4D08-8484-E46D01A8ABBE;28.1;5B6D0199-ACAE-46D0-9BFF-82BFC5218478;fr_FR;Aromates séchés
6C9C0A7E-7B8F-4F09-850E-704F4EEF0350;28.2;792BB424-3FF2-4311-85C9-D8CF3F116081;fr_FR;Aromates frais
742F7C7F-68DB-4181-9448-95DB7E41DF45;28.3;62F19940-41B8-4D6F-8565-C40FCE4B37AF;fr_FR;Aides culinaires
185FA2B8-7763-4462-A5C6-50E5123A5AE1;28.6;13259F8A-E17D-4D6A-B0F3-91195A693D93;fr_FR;Sauces salées
CD9DDDBB-00F6-4E27-A5E4-41675496308E;28.7;AAD681A6-F4EF-4E36-8723-E5B2DBDDE7C0;fr_FR;Sels
27D49A74-461B-45C3-A7AF-5EECD0F47851;28.8;8B7831F0-98CC-4389-B1B5-BD99B891C7A5;fr_FR;Sauces sucrées
6CE86107-415E-466A-8C17-0D6488902307;28.9;4C9DDDEF-231A-4A8D-9883-53BC326D5C93;fr_FR;Condiments
C9F9F9C1-1D25-4ADD-8403-89C4D5BACBBA;29;B5D0744B-85DE-4A0E-A588-E9E4A6125B6D;fr_FR;Denrées destinées à une alimentation particulière
EFEE4695-0AF4-400D-94F3-791236F32553;30;CD0CA2BB-B34B-47A2-A0E7-B131ADCD3994;fr_FR;Ingrédients divers
BD98994C-BDCF-43CB-96A3-8B66FF394726;31;12F6BAC0-1675-4B97-A148-9163F6ACAB17;fr_FR;Compléments alimentaires
F8235A53-E71D-4624-84F1-A2CACDCFB379;32.1;374255B3-7E03-4472-BA51-34BFD43F2574;fr_FR;Glaces
445CF5C2-3EE6-4B35-A5D0-6DE1BEBA3B11;32.2;3F44A871-AC1C-4498-8EBC-F9ADBB8D3450;fr_FR;Sorbets
4867AFFA-A224-45DA-8C0E-2AD385D4DB72;32.3;290EA467-AB95-4559-975B-6EF5CA2E80F7;fr_FR;Desserts glacés
23707D08-1813-4B2E-AB8E-4F6B9C70D14A;33.1;B345EE8C-16AA-4283-97A0-1BE75CBC954A;fr_FR;Lait et boissons/desserts lactés infantiles
A3E12603-CAFB-4494-A599-6C8C7F1A2C01;33.2;85106C6B-84C3-46AD-B573-2F56AFB6AD06;fr_FR;Petits pots et plats infantiles
A4EED5AC-FB8A-451F-9771-9DB40C8D908C;33.3;94545FF1-95DD-47E0-8F19-FEB36286C6F7;fr_FR;Desserts fruités infantiles
088E22F0-4FC1-47A1-AE70-0972ECFB4267;33.4;E64C0C81-1A46-4521-9E1D-728EF1A849FA;fr_FR;Céréales et biscuits infantiles
6573CC50-AB6D-4A73-B439-DA91E4090E8D;33.5;0BEA860F-DE20-4E48-85E3-49AC44DB54AF;fr_FR;Boissons infantiles non lactées
D6F1DEAC-3414-4B29-959A-D665E56F3706;34.1;D4240C3A-A4C7-4474-A003-68E0BA26F228;fr_FR;Algues, séchées ou déshydratées
744202D7-C5CB-40AC-A732-2E29D9344D2C;34.2;19250488-4B84-4503-A114-3B297295032C;fr_FR;Algues, crues
B523CA5F-BCFE-4164-BA6B-9AB53FD8EF04;35;B7A31567-1818-4AC2-94A0-CCCD1588539D;fr_FR;Pizzas, crêpes et tartes salées
8F19B522-3F84-426C-B95D-4E93234F55C2;36;3B5A5CB8-97D9-475D-A39C-CD490F7FEF06;fr_FR;"Boissons végétales type ""laits"" végétaux"
